produit,description,longueur,largeur,epaisseur,essence,nb_planches,volume planche,volume paquet,production epinette,production sapin,regle
0,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-10'_464,10,3,1.0,EPINETTE,464,2.5,1160,24411.2,1284.8,1x3 epinette 8@16
1,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-12'_464,12,3,1.0,EPINETTE,464,3.0,1392,18950.8,,1x3 epinette 8@16
2,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-14'_464,14,3,1.0,EPINETTE,464,3.5,1624,10599.6,,1x3 epinette 8@16
3,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-16'_464,16,3,1.0,EPINETTE,464,4.0,1856,14454.0,,1x3 epinette 8@16
4,EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-8'_464,8,3,1.0,EPINETTE,464,2.0,928,25374.8,1284.8,1x3 epinette 8@16
5,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-10'_348,10,4,1.0,EPINETTE,348,3.3333333333333335,1160,40792.4,1284.8,1x3-1x4 epinette 12@16
6,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-12'_348,12,4,1.0,EPINETTE,348,4.0,1392,39186.4,,1x3-1x4 epinette 12@16
7,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-14'_348,14,4,1.0,EPINETTE,348,4.666666666666667,1624,22805.2,,1x3-1x4 epinette 12@16
8,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-16'_348,16,4,1.0,EPINETTE,348,5.333333333333333,1856,47858.8,,1x3-1x4 epinette 12@16
9,EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-8'_348,8,4,1.0,EPINETTE,348,2.6666666666666665,928,31477.6,963.6,1x3-1x4 epinette 12@16
10,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-10'_232,10,6,1.0,EPINETTE,232,5.0,1160,8030.0,,1x4 - 1x6 sapin.1
11,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-12'_232,12,6,1.0,EPINETTE,232,6.0,1392,11563.2,,1x4 - 1x6 sapin.1
12,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-14'_232,14,6,1.0,EPINETTE,232,7.0,1624,9636.0,,1x4 - 1x6 sapin.1
13,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-16'_232,16,6,1.0,EPINETTE,232,8.0,1856,15096.4,,1x4 - 1x6 sapin.1
14,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-6' - 7'_232,7,6,1.0,EPINETTE,232,3.5,812,1284.8,,0106103MVBL-6' - 7'_232
15,EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-8'_232,8,6,1.0,EPINETTE,232,4.0,928,4175.6,,1x4 - 1x6 sapin.1
16,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-10'_320,10,3,2.0,EPINETTE,320,5.0,1600,20556.8,11242.0,2x3-2x4 epinette 6 @ 10
17,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-12'_320,12,3,2.0,EPINETTE,320,6.0,1920,13490.4,,0203103MVBL-12'_320
18,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-14'_320,14,3,2.0,EPINETTE,320,7.0,2240,5139.2,,2x3-2x4 epinette 12-14-16
19,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-16'_320,16,3,2.0,EPINETTE,320,8.0,2560,17987.2,,2x3-2x4 epinette 12-14-16
20,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-7'_320,7,3,2.0,EPINETTE,320,3.5,1120,3854.4,2569.6,2x3-2x4 epinette 6 @ 10
21,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-8'_320,8,3,2.0,EPINETTE,320,4.0,1280,11884.4,7387.6,2x3-2x4 epinette 6 @ 10
22,EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-9'_320,9,3,2.0,EPINETTE,320,4.5,1440,11884.4,8351.2,2x3-2x4 epinette 6 @ 10
23,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,10,4,2.0,EPINETTE,240,6.666666666666667,1600,245718.0,98608.4,2x3-2x4 epinette 6 @ 10
24,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,12,4,2.0,EPINETTE,240,8.0,1920,249572.4,67130.8,2x3-2x4 epinette 12-14-16
25,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-14'_240,14,4,2.0,EPINETTE,240,9.333333333333334,2240,54925.2,2569.6,2x3-2x4 epinette 12-14-16
26,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,16,4,2.0,EPINETTE,240,10.666666666666666,2560,318309.2,26980.8,2x3-2x4 epinette 12-14-16
27,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-4'_432,4,4,2.0,EPINETTE,432,2.6666666666666665,1152,8030.0,5460.4,0204103MVBL-4'_432
28,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-6'_240,6,4,2.0,EPINETTE,240,4.0,960,20235.6,5460.4,2x3-2x4 epinette 6 @ 10
29,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-7'_240,7,4,2.0,EPINETTE,240,4.666666666666667,1120,17023.6,3854.4,2x3-2x4 epinette 6 @ 10
30,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,8,4,2.0,EPINETTE,240,5.333333333333333,1280,88651.2,32762.4,2x3-2x4 epinette 6 @ 10
31,EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-9'_240,9,4,2.0,EPINETTE,240,6.0,1440,70985.2,29871.6,2x3-2x4 epinette 6 @ 10
32,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-10'_160,10,6,2.0,EPINETTE,160,10.0,1600,71306.4,12848.0,2x6 epinette
33,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-12'_160,12,6,2.0,EPINETTE,160,12.0,1920,69700.4,20235.6,2x6 epinette
34,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-14'_160,14,6,2.0,EPINETTE,160,14.0,2240,47216.4,2569.6,2x6 epinette
35,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-16'_160,16,6,2.0,EPINETTE,160,16.0,2560,168308.8,6102.8,2x6 epinette
36,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-7'_160,7,6,2.0,EPINETTE,160,7.0,1120,1284.8,,2x6 epinette
37,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-8'_160,8,6,2.0,EPINETTE,160,8.0,1280,11884.4,2890.8,2x6 epinette
38,EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-9'_160,9,6,2.0,EPINETTE,160,9.0,1440,21841.6,3854.4,2x6 epinette
39,EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-10'_120,10,8,2.0,EPINETTE,120,13.333333333333334,1600,8993.6,,2x8 et 2x10 epinette
40,EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-12'_120,12,8,2.0,EPINETTE,120,16.0,1920,26017.2,,2x8 et 2x10 epinette
41,EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-14'_120,14,8,2.0,EPINETTE,120,18.666666666666668,2240,27944.4,,2x8 et 2x10 epinette
42,EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-16'_120,16,8,2.0,EPINETTE,120,21.333333333333332,2560,176338.8,11884.4,2x8 et 2x10 epinette
43,EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-8'_120,8,8,2.0,EPINETTE,120,10.666666666666666,1280,3854.4,,2x8 et 2x10 epinette
44,EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-10'_100,10,10,2.0,EPINETTE,100,16.666666666666668,1666,7708.8,5781.6,2x8 et 2x10 epinette
45,EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-12'_100,12,10,2.0,EPINETTE,100,20.0,2000,23447.6,32762.4,2x8 et 2x10 epinette
46,EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-14'_100,14,10,2.0,EPINETTE,100,23.333333333333332,2333,21841.6,32441.2,2x8 et 2x10 epinette
47,EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-16'_100,16,10,2.0,EPINETTE,100,26.666666666666668,2666,128158.8,108886.8,2x8 et 2x10 epinette
48,EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-8'_100,8,10,2.0,EPINETTE,100,13.333333333333334,1333,3212.0,3212.0,2x8 et 2x10 epinette
49,EPINETTE 03X03 3&MEIL VERT BRUT LATTE NEMB-10'_180,10,3,3.0,EPINETTE,180,7.5,1350,20556.8,1606.0,0303103MVBL-10'_180
50,EPINETTE 03X03 3&MEIL VERT BRUT LATTE NEMB-9'_180,9,3,3.0,EPINETTE,180,6.75,1215,2890.8,,0303103MVBL-9'_180
51,EPINETTE 04X04 3&MEIL VERT BRUT LATTE NEMB-16'_120,16,4,4.0,EPINETTE,120,21.333333333333332,2560,,2569.6,0404103MVBL-16'_120
52,EPINETTE 5/4X06 3&MEIL VERT BRUT LATTE NEMB-10'_200,10,6,1.25,EPINETTE,200,6.25,1250,1606.0,,5406103MVBL-10'_200
53,EPINETTE 5/4X06 3&MEIL VERT BRUT LATTE NEMB-12'_200,12,6,1.25,EPINETTE,200,7.5,1500,38865.2,1606.0,5406103MVBL-12'_200
54,EPINETTE 5/4X06 3&MEIL VERT BRUT LATTE NEMB-16'_200,16,6,1.25,EPINETTE,200,10.0,2000,152570.0,7066.4,5406103MVBL-16'_200
55,EPINETTE P2X10 2&MEIL VERT BRUT NONLATTE NEMB-12'_0,12,10,2.0,EPINETTE,0,20.0,0,5139.2,8672.4,P210102MVBN-12'_0
56,EPINETTE P2X10 2&MEIL VERT BRUT NONLATTE NEMB-16'_0,16,10,2.0,EPINETTE,0,26.666666666666668,0,2248.4,11563.2,P210102MVBN-16'_0
57,EPS 01X03 3&MEIL VERT BRUT NONLATTE NEMB-4'_672,4,3,1.0,EPS,672,1.0,672,3212.0,3212.0,0103013MVBN-4'_672
58,EPS 01X03 3&MEIL VERT BRUT NONLATTE NEMB-5'_672,5,3,1.0,EPS,672,1.25,840,8030.0,11884.4,0103013MVBN-5'_672
59,EPS 01X03 3&MEIL VERT BRUT NONLATTE NEMB-6'_672,6,3,1.0,EPS,672,1.5,1008,5781.6,9314.8,0103013MVBN-6'_672
60,EPS 01X03 3&MEIL VERT BRUT NONLATTE NEMB-7'_672,7,3,1.0,EPS,672,1.75,1176,5460.4,6745.2,0103013MVBN-7'_672
61,EPS 01X04 3&MEIL VERT BRUT NONLATTE NEMB-4'_1008,4,4,1.0,EPS,1008,1.3333333333333333,1344,3212.0,3212.0,0104013MVBN-4'_1008
62,EPS 01X04 3&MEIL VERT BRUT NONLATTE NEMB-5'_1008,5,4,1.0,EPS,1008,1.6666666666666667,1680,8030.0,9957.2,0104013MVBN-5'_1008
63,EPS 01X04 3&MEIL VERT BRUT NONLATTE NEMB-6'_504,6,4,1.0,EPS,504,2.0,1008,7066.4,8030.0,0104013MVBN-6'_504
64,EPS 01X04 3&MEIL VERT BRUT NONLATTE NEMB-7'_504,7,4,1.0,EPS,504,2.3333333333333335,1176,5460.4,6745.2,0104013MVBN-7'_504
65,EPS 01X06 3&MEIL VERT BRUT NONLATTE NEMB-6' - 7'_336,7,6,1.0,EPS,336,3.5,1176,,1284.8,0106013MVBN-6' - 7'_336
66,EPS 02X03 3&MEIL VERT BRUT NONLATTE NEMB-4'_704,4,3,2.0,EPS,704,2.0,1408,13169.2,6424.0,0203013MVBN-4'_704
67,EPS 02X03 3&MEIL VERT BRUT NONLATTE NEMB-5'_704,5,3,2.0,EPS,704,2.5,1760,1927.2,,0203013MVBN-5'_704
68,EPS 02X03 3&MEIL VERT BRUT NONLATTE NEMB-6'_352,6,3,2.0,EPS,352,3.0,1056,7387.6,6102.8,0203013MVBN-6'_352
69,EPS 02X03 3&MEIL VERT BRUT NONLATTE NEMB-7'_352,7,3,2.0,EPS,352,3.5,1232,,5781.6,0203013MVBN-7'_352
70,EPS 02X04 3&MEIL VERT BRUT NONLATTE NEMB-5'_528,5,4,2.0,EPS,528,3.3333333333333335,1760,14454.0,18629.6,0204013MVBN-5'_528
71,EPS 02X06 3&MEIL VERT BRUT NONLATTE NEMB-5'_176,5,6,2.0,EPS,176,5.0,880,963.6,963.6,0206013MVBN-5'_176
72,EPS 02X06 3&MEIL VERT BRUT NONLATTE NEMB-6'_176,6,6,2.0,EPS,176,6.0,1056,1284.8,,0206013MVBN-6'_176
73,SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-10'_464,10,3,1.0,SAPIN,464,2.5,1160,4175.6,31477.6,1x3 sapin
74,SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-12'_464,12,3,1.0,SAPIN,464,3.0,1392,1606.0,28908.0,1x3 sapin
75,SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-14'_464,14,3,1.0,SAPIN,464,3.5,1624,963.6,15417.6,1x3 sapin
76,SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-16'_464,16,3,1.0,SAPIN,464,4.0,1856,963.6,20878.0,1x3 sapin
77,SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-8'_464,8,3,1.0,SAPIN,464,2.0,928,3533.2,30835.2,1x3 sapin
78,SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-10'_348,10,4,1.0,SAPIN,348,3.3333333333333335,1160,4175.6,53961.6,1x4 sapin
79,SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-12'_348,12,4,1.0,SAPIN,348,4.0,1392,3212.0,56531.2,1x4 sapin
80,SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-14'_348,14,4,1.0,SAPIN,348,4.666666666666667,1624,3854.4,41434.8,1x4 sapin
81,SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-16'_348,16,4,1.0,SAPIN,348,5.333333333333333,1856,6424.0,62312.8,1x4 sapin
82,SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-8'_348,8,4,1.0,SAPIN,348,2.6666666666666665,928,3212.0,34368.4,1x4 sapin
83,SAPIN 01X06 3&MEIL VERT BRUT LATTE NEMB-10'_232,10,6,1.0,SAPIN,232,5.0,1160,,6745.2,1x4 - 1x6 sapin
84,SAPIN 01X06 3&MEIL VERT BRUT LATTE NEMB-12'_232,12,6,1.0,SAPIN,232,6.0,1392,,8030.0,1x4 - 1x6 sapin
85,SAPIN 01X06 3&MEIL VERT BRUT LATTE NEMB-14'_232,14,6,1.0,SAPIN,232,7.0,1624,,5781.6,1x4 - 1x6 sapin
86,SAPIN 01X06 3&MEIL VERT BRUT LATTE NEMB-16'_232,16,6,1.0,SAPIN,232,8.0,1856,,12848.0,1x4 - 1x6 sapin
87,SAPIN 01X06 3&MEIL VERT BRUT LATTE NEMB-8'_232,8,6,1.0,SAPIN,232,4.0,928,963.6,4175.6,1x4 - 1x6 sapin
88,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-10'_320,10,3,2.0,SAPIN,320,5.0,1600,22484.0,29550.4,2x3-2x4 sapin 6@10
89,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-12'_320,12,3,2.0,SAPIN,320,6.0,1920,4496.8,24411.2,2x3-2x4 sapin 12-14-16
90,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-14'_320,14,3,2.0,SAPIN,320,7.0,2240,2569.6,7708.8,2x3-2x4 sapin 12-14-16
91,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-16'_320,16,3,2.0,SAPIN,320,8.0,2560,2890.8,17666.0,2x3-2x4 sapin 12-14-16
92,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-8'_320,8,3,2.0,SAPIN,320,4.0,1280,10599.6,14775.2,2x3-2x4 sapin 6@10
93,SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-9'_320,9,3,2.0,SAPIN,320,4.5,1440,11884.4,15096.4,2x3-2x4 sapin 6@10
94,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,10,4,2.0,SAPIN,240,6.666666666666667,1600,170557.2,218094.8,2x3-2x4 sapin 6@10
95,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,12,4,2.0,SAPIN,240,8.0,1920,85439.2,226124.8,2x3-2x4 sapin 12-14-16
96,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-14'_240,14,4,2.0,SAPIN,240,9.333333333333334,2240,7708.8,88008.8,2x3-2x4 sapin 12-14-16
97,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,16,4,2.0,SAPIN,240,10.666666666666666,2560,26980.8,282977.2,2x3-2x4 sapin 12-14-16
98,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-6'_240,6,4,2.0,SAPIN,240,4.0,960,7708.8,22162.8,2x3-2x4 sapin 6@10
99,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-7'_240,7,4,2.0,SAPIN,240,4.666666666666667,1120,5139.2,19593.2,2x3-2x4 sapin 6@10
100,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,8,4,2.0,SAPIN,240,5.333333333333333,1280,26980.8,83512.0,2x3-2x4 sapin 6@10
101,SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-9'_240,9,4,2.0,SAPIN,240,6.0,1440,44004.4,78051.6,2x3-2x4 sapin 6@10
102,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-10'_160,10,6,2.0,SAPIN,160,10.0,1600,13169.2,39186.4,2x6 sapin
103,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-12'_160,12,6,2.0,SAPIN,160,12.0,1920,13490.4,58137.2,2x6 sapin
104,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-14'_160,14,6,2.0,SAPIN,160,14.0,2240,5139.2,57173.6,2x6 sapin
105,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-16'_160,16,6,2.0,SAPIN,160,16.0,2560,17987.2,232870.0,2x6 sapin
106,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-8'_160,8,6,2.0,SAPIN,160,8.0,1280,1606.0,6102.8,2x6 sapin
107,SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-9'_160,9,6,2.0,SAPIN,160,9.0,1440,5139.2,8351.2,2x6 sapin
108,SAPIN 03X03 3&MEIL VERT BRUT LATTE NEMB-10'_180,10,3,3.0,SAPIN,180,7.5,1350,3212.0,17344.8,0303203MVBL-10'_180
109,SAPIN 03X03 3&MEIL VERT BRUT LATTE NEMB-9'_180,9,3,3.0,SAPIN,180,6.75,1215,,1284.8,0303203MVBL-9'_180
110,SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-10'_120,10,4,4.0,SAPIN,120,13.333333333333334,1600,3854.4,42719.6,0404203MVBL-10'_120
111,SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-12'_120,12,4,4.0,SAPIN,120,16.0,1920,11242.0,115953.2,0404203MVBL-12'_120
112,SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-16'_120,16,4,4.0,SAPIN,120,21.333333333333332,2560,8993.6,142934.0,0404203MVBL-16'_120
113,SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-8'_120,8,4,4.0,SAPIN,120,10.666666666666666,1280,,2890.8,0404203MVBL-8'_120
114,SAPIN 5/4X06 3&MEIL VERT BRUT LATTE NEMB-10'_200,10,6,1.25,SAPIN,200,6.25,1250,1606.0,1606.0,5406203MVBL-10'_200
115,SAPIN 5/4X06 3&MEIL VERT BRUT LATTE NEMB-12'_200,12,6,1.25,SAPIN,200,7.5,1500,,26338.4,5406203MVBL-12'_200
116,SAPIN 5/4X06 3&MEIL VERT BRUT LATTE NEMB-16'_200,16,6,1.25,SAPIN,200,10.0,2000,4818.0,86081.6,5406203MVBL-16'_200
117,SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,10,4,2.0,SAPINLOU,240,6.666666666666667,1600,22484.0,47216.4,0204213MVBL-10'_240
118,SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,12,4,2.0,SAPINLOU,240,8.0,1920,15738.8,54925.2,0204213MVBL-12'_240
119,SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,16,4,2.0,SAPINLOU,240,10.666666666666666,2560,,37580.4,0204213MVBL-16'_240
120,SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,8,4,2.0,SAPINLOU,240,5.333333333333333,1280,8993.6,7387.6,0204213MVBL-8'_240
